id,predicted_polarity,predicted_label,predicted_intensity,raw_intensity,classification_principal_modality,regression_principal_modality,classification_margin,classification_bias,classification_accounting_error,raw_text,classification_modal_scores_T,classification_modality_shares_T,regression_modal_scores_T,regression_modality_shares_T,precision_weight_T,available_T,key_evidence_T,classification_modal_scores_A,classification_modality_shares_A,regression_modal_scores_A,regression_modality_shares_A,precision_weight_A,available_A,key_evidence_A,classification_modal_scores_V,classification_modality_shares_V,regression_modal_scores_V,regression_modality_shares_V,precision_weight_V,available_V,key_evidence_V,time_note
01,1,中性,0.0,0.15103042125701904,T,T,1.2660560369491578,-0.4536903403699398,9.313225746154785e-08,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,1.7857853174209595,0.964338481426239,0.03073631227016449,0.48272955417633057,0.45382046699523926,True,"位置[7]，the，字符[[47, 50]]，分数+0.1881；估计2.61—2.69s；
位置[4]，components，字符[[21, 31]]，分数+0.1817；估计1.46—1.96s；
位置[5]，when，字符[[32, 36]]，分数+0.1637；估计1.98—2.11s",-0.06486020982265472,0.035025037825107574,0.018796633929014206,0.2952107787132263,0.2688509225845337,True,"位置[1]，Replacing，字符[[0, 9]]，分数-0.0186；估计0.50—0.96s；
位置[2]，these，字符[[10, 15]]，分数-0.0185；估计0.98—1.18s；
位置[5]，when，字符[[32, 36]]，分数-0.0077；估计1.98—2.11s",-0.0011786026880145073,0.0006364549626596272,-0.014138961210846901,0.22205963730812073,0.27732861042022705,True,"位置[21]，age，字符[[121, 124]]，分数-0.0083；估计7.24—7.64s；
位置[20]，mile，字符[[117, 121]]，分数-0.0083；估计7.24—7.64s；
位置[22]，requirements，字符[[125, 137]]，分数-0.0079；估计7.70—8.36s",机器对齐估计；视觉时段仅用于回查，并非原特征精确帧时间
02,2,正向,9.999999974752427e-07,-0.03470904380083084,T,V,0.7204479813575745,0.4536903403699398,1.5273690223693848e-07,We want to live by each other’s happiness - not by each other’s misery.,0.40642672777175903,0.7442404627799988,0.01999061554670334,0.30041420459747314,0.40836453437805176,True,"位置[17]，s，字符[[62, 63]]，分数-0.1465；估计2.23—2.43s；
位置[18]，misery，字符[[64, 70]]，分数-0.1352；估计2.47—2.75s；
位置[4]，live，字符[[11, 15]]，分数+0.1288；估计0.82—0.94s",-0.12457632273435593,0.22812166810035706,-0.014532548375427723,0.21839167177677155,0.2942790985107422,True,"位置[18]，misery，字符[[64, 70]]，分数-0.0120；估计2.47—2.75s；
位置[19]，.，字符[[70, 71]]，分数-0.0119；时间未定位；
位置[4]，live，字符[[11, 15]]，分数-0.0118；估计0.82—0.94s",-0.015092898160219193,0.027637813240289688,-0.03202034905552864,0.4811941683292389,0.29735639691352844,True,"位置[16]，’，字符[[61, 62]]，分数-0.0014；估计2.23—2.43s；
位置[15]，other，字符[[56, 61]]，分数-0.0014；估计2.23—2.43s；
位置[17]，s，字符[[62, 63]]，分数-0.0014；估计2.23—2.43s",机器对齐估计；视觉时段仅用于回查，并非原特征精确帧时间
03,0,负向,-0.6587620377540588,-0.6587620377540588,T,T,4.296944046020508,0.39831538647413256,5.215406373437759e-08,"There's one lender at the moment which I think is just Bankwest who don't take rental income into account, they take rental yield into account.",3.9605047702789307,0.9846170544624329,-0.2799893021583557,0.8701697587966919,0.4376564025878906,True,"位置[14]，just，字符[[50, 54]]，分数+0.1889；估计2.73—2.89s；
位置[12]，think，字符[[41, 46]]，分数+0.1807；估计2.41—2.57s；
位置[10]，which，字符[[33, 38]]，分数+0.1736；估计2.17—2.31s",-0.016382604837417603,0.0040728626772761345,0.03181320056319237,0.09887122362852097,0.27611738443374634,True,"位置[9]，moment，字符[[26, 32]]，分数-0.0080；估计1.76—2.11s；
位置[10]，which，字符[[33, 38]]，分数-0.0018；估计2.17—2.31s；
位置[22]，rental，字符[[79, 85]]，分数-0.0017；估计5.11—5.41s",-0.04549333080649376,0.011310050264000893,0.009961496107280254,0.03095901384949684,0.28622621297836304,True,"位置[13]，is，字符[[47, 49]]，分数-0.0035；估计2.61—2.69s；
位置[14]，just，字符[[50, 54]]，分数-0.0030；估计2.73—2.89s；
位置[22]，rental，字符[[79, 85]]，分数-0.0030；估计5.11—5.41s",机器对齐估计；视觉时段仅用于回查，并非原特征精确帧时间
04,0,负向,-0.4144037365913391,-0.4144037365913391,T,T,4.149875068664551,0.39831538647413256,4.246830944687474e-07,"If I blow it at the team exercise, should I kiss my chances of cheering ""GO BLUE"" goodbye?] Absolutely not.",3.7018401622772217,0.9867470860481262,-0.3236232399940491,0.6561290621757507,0.5481701493263245,True,"位置[24]，Absolutely，字符[[92, 102]]，分数+0.2844；估计5.37—5.95s；
位置[11]，I，字符[[42, 43]]，分数+0.2555；估计2.40—2.42s；
位置[10]，should，字符[[35, 41]]，分数+0.2545；估计2.18—2.32s",0.011639997363090515,0.003102709073573351,0.06974872201681137,0.14141185581684113,0.2572636306285858,True,"位置[16]，cheering，字符[[63, 71]]，分数-0.0052；估计3.40—3.68s；
位置[15]，of，字符[[60, 62]]，分数-0.0048；估计3.28—3.34s；
位置[6]，the，字符[[16, 19]]，分数+0.0043；估计1.16—1.22s",0.038079023361206055,0.010150185786187649,0.0998590886592865,0.20245903730392456,0.1945662647485733,True,"位置[15]，of，字符[[60, 62]]，分数+0.0040；估计3.28—3.34s；
位置[10]，should，字符[[35, 41]]，分数+0.0039；估计2.18—2.32s；
位置[16]，cheering，字符[[63, 71]]，分数+0.0037；估计3.40—3.68s",机器对齐估计；视觉时段仅用于回查，并非原特征精确帧时间
05,2,正向,0.798313558101654,0.798313558101654,T,T,4.528360748291016,0.4536903403699398,3.8370490074157715e-07,"Hi, my name is Chloe, video marketer for Red Wagon Marketing.",3.340175151824951,0.8197411298751831,0.19927555322647095,0.7733609676361084,0.4527862071990967,True,"位置[7]，,，字符[[20, 21]]，分数+0.3215；时间未定位；
位置[2]，,，字符[[2, 3]]，分数+0.2982；时间未定位；
位置[5]，is，字符[[12, 14]]，分数+0.2923；估计2.29—2.37s",0.14844241738319397,0.03643053025007248,0.010277152061462402,0.039884213358163834,0.33134332299232483,True,"位置[4]，name，字符[[7, 11]]，分数+0.0262；估计2.10—2.27s；
位置[5]，is，字符[[12, 14]]，分数+0.0251；估计2.29—2.37s；
位置[8]，video，字符[[22, 27]]，分数+0.0183；估计3.23—3.49s",0.5860532522201538,0.1438283622264862,0.048121996223926544,0.18675483763217926,0.21587052941322327,True,"位置[2]，,，字符[[2, 3]]，分数+0.0704；时间未定位；
位置[1]，Hi，字符[[0, 2]]，分数+0.0672；估计1.26—1.52s；
位置[4]，name，字符[[7, 11]]，分数+0.0649；估计2.10—2.27s",机器对齐估计；视觉时段仅用于回查，并非原特征精确帧时间
06,2,正向,0.9138823747634888,0.9138823747634888,T,T,5.297308826446534,0.4536903403699398,3.8370490074157715e-07,"If you're a fan of dancing in that sense, just like to watch people dance, see impressive dance moves then you might want to check out this movie solely for that",4.79665994644165,0.9360164403915405,0.3268788456916809,0.6988222002983093,0.3899836540222168,True,"位置[33]，solely，字符[[146, 152]]，分数+0.1871；估计6.82—7.14s；
位置[14]，like，字符[[47, 51]]，分数+0.1757；估计2.33—2.51s；
位置[6]，fan，字符[[12, 15]]，分数+0.1736；估计0.78—0.96s",0.18742260336875916,0.03657349944114685,0.05680980160832405,0.12145157903432846,0.2802126705646515,True,"位置[21]，impressive，字符[[79, 89]]，分数+0.0153；估计3.95—4.41s；
位置[23]，moves，字符[[96, 101]]，分数+0.0130；估计4.85—5.17s；
位置[22]，dance，字符[[90, 95]]，分数+0.0129；估计4.45—4.77s",-0.14046382904052734,0.027410002425312996,-0.08406813442707062,0.17972615361213684,0.3298037052154541,True,"位置[14]，like，字符[[47, 51]]，分数-0.0085；估计2.33—2.51s；
位置[15]，to，字符[[52, 54]]，分数-0.0082；估计2.51—2.57s；
位置[13]，just，字符[[42, 46]]，分数-0.0080；估计2.14—2.31s",机器对齐估计；视觉时段仅用于回查，并非原特征精确帧时间
07,2,正向,0.8534539937973022,0.8534539937973022,T,T,3.3435222148895263,0.4536903403699398,1.4528632164001465e-07,"As Linn’s associate editor Michael Baadke reports in our November 28 issue, attendees “enthusiastically discussed the topics of growing the hobby, the future of stamp shows, and dealers and philatelic partnerships, along with ways the leading organizations involved in the stamp hobby can work together to make it succeed and grow",2.6153359413146973,0.9050131440162659,0.23403146862983704,0.8431656360626221,0.41416817903518677,True,"位置[21]，enthusiastically，字符[[87, 103]]，分数+0.1252；估计5.96—7.02s；
位置[46]，ways，字符[[226, 230]]，分数+0.1243；估计14.48—14.90s；
位置[44]，along，字符[[215, 220]]，分数+0.1240；估计13.92—14.28s",0.06320204585790634,0.02187049202620983,0.015775665640830994,0.05683637037873268,0.3018926680088043,True,"位置[45]，with，字符[[221, 225]]，分数+0.0086；估计14.30—14.44s；
位置[22]，discussed，字符[[104, 113]]，分数+0.0082；估计7.08—7.56s；
位置[24]，topics，字符[[118, 124]]，分数+0.0079；估计7.70—8.18s",0.21129396557807922,0.07311634719371796,0.0277557373046875,0.09999802708625793,0.2839391827583313,True,"位置[42]，partnerships，字符[[201, 213]]，分数+0.0118；估计12.88—13.54s；
位置[44]，along，字符[[215, 220]]，分数+0.0116；估计13.92—14.28s；
位置[43]，,，字符[[213, 214]]，分数+0.0114；时间未定位",机器对齐估计；视觉时段仅用于回查，并非原特征精确帧时间
08,2,正向,0.5174393653869629,0.5174393653869629,T,T,4.541685485839844,0.4536903403699398,9.313225746154785e-08,"That brings us to tonight, the Universal Design Grand Challenge",4.1136698722839355,0.9846637845039368,0.23347947001457214,0.7587161064147949,0.3777984082698822,True,"位置[8]，Universal，字符[[31, 40]]，分数+0.4617；估计2.02—2.52s；
位置[9]，Design，字符[[41, 47]]，分数+0.4302；估计2.58—3.13s；
位置[2]，brings，字符[[5, 11]]，分数+0.4274；估计0.84—1.08s",0.019198156893253326,0.004595344420522451,-0.007529822178184986,0.02446894906461239,0.3037630617618561,True,"位置[1]，That，字符[[0, 4]]，分数+0.0332；估计0.64—0.80s；
位置[2]，brings，字符[[5, 11]]，分数+0.0153；估计0.84—1.08s；
位置[8]，Universal，字符[[31, 40]]，分数-0.0148；估计2.02—2.52s",-0.044872865080833435,0.010740941390395164,-0.0667203962802887,0.21681495010852814,0.31843847036361694,True,"位置[7]，the，字符[[27, 30]]，分数-0.0081；估计1.84—1.92s；
位置[3]，us，字符[[12, 14]]，分数-0.0074；估计1.10—1.20s；
位置[5]，tonight，字符[[18, 25]]，分数-0.0071；估计1.44—1.80s",机器对齐估计；视觉时段仅用于回查，并非原特征精确帧时间
09,0,负向,-2.293168544769287,-2.293168544769287,T,T,10.373974227905274,0.39831538647413256,4.246830940246582e-07,"(uhh) I did not like this movie at all, I would not recommend it",9.986863136291504,0.9950034022331238,-1.0778108835220337,0.9382736086845398,0.4122147262096405,True,"位置[18]，it，字符[[62, 64]]，分数+0.5707；估计3.72—3.82s；
位置[16]，not，字符[[48, 51]]，分数+0.5688；估计3.03—3.16s；
位置[9]，this，字符[[21, 25]]，分数+0.5667；估计1.63—1.77s",0.01947326585650444,0.001940145273692906,0.06351742148399353,0.0552942268550396,0.25376954674720764,True,"位置[15]，would，字符[[42, 47]]，分数+0.0059；估计2.89—3.01s；
位置[12]，all，字符[[35, 38]]，分数+0.0058；估计2.43—2.65s；
位置[13]，,，字符[[38, 39]]，分数+0.0058；时间未定位",-0.03067823499441147,0.003056510118767619,-0.007388720754534006,0.006432150490581989,0.33401569724082947,True,"位置[15]，would，字符[[42, 47]]，分数-0.0037；估计2.89—3.01s；
位置[13]，,，字符[[38, 39]]，分数-0.0029；时间未定位；
位置[11]，at，字符[[32, 34]]，分数-0.0029；估计2.27—2.35s",机器对齐估计；视觉时段仅用于回查，并非原特征精确帧时间
10,0,负向,-2.159799098968506,-2.159799098968506,T,T,10.038004302978516,0.39831538647413256,5.289912223815918e-07,(umm) And you know I really do like to see fluffy chick flicks sometimes so I'm not against that but this one was pretty terrible,9.580050468444824,0.9936845898628235,-1.0216026306152344,0.9115696549415588,0.44338464736938477,True,"位置[30]，terrible，字符[[121, 129]]，分数+0.3731；估计8.67—9.17s；
位置[28]，was，字符[[110, 113]]，分数+0.3649；估计7.49—7.73s；
位置[29]，pretty，字符[[114, 120]]，分数+0.3630；估计8.37—8.59s",0.06026264652609825,0.006250704638659954,0.059971775859594345,0.053512442857027054,0.26732492446899414,True,"位置[24]，that，字符[[92, 96]]，分数+0.0046；估计6.33—6.61s；
位置[11]，to，字符[[36, 38]]，分数+0.0038；估计2.72—2.78s；
位置[10]，like，字符[[31, 35]]，分数+0.0038；估计2.50—2.70s",-0.0006238967180252075,6.471329106716439e-05,0.039132747799158096,0.03491790592670441,0.2892904579639435,True,"位置[6]，know，字符[[14, 18]]，分数+0.0023；估计1.42—1.58s；
位置[7]，I，字符[[19, 20]]，分数+0.0019；估计1.96—1.98s；
位置[2]，umm，字符[[1, 4]]，分数-0.0018；估计0.30—0.56s",机器对齐估计；视觉时段仅用于回查，并非原特征精确帧时间
